"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
35,"APD 50",109.15,-4.33349578702293,10685.6
35,"APD 90",140.800000000001,-44.5251433328624,10717.25
36,"APD 20",72.6499999999996,26.7639141212614,10952.8
36,"APD 50",111.549999999999,-3.66210911579403,10991.7
36,"APD 90",142.4,-44.2504851491778,11022.55
37,"APD 20",70.4499999999989,26.0925274500324,11247.5
37,"APD 50",106.699999999999,-4.08935517930333,11283.75
37,"APD 90",140.199999999999,-44.3725554530376,11317.25
38,"APD 20",70.3500000000004,26.2756329058222,11543.95
38,"APD 50",107.6,-3.96728487544353,11581.2
38,"APD 90",138.85,-44.2199675732129,11612.45
39,"APD 20",71.3500000000004,26.5197735135418,11840.35
39,"APD 50",107.35,-3.78417941965383,11876.35
39,"APD 90",138.25,-44.2199675732129,11907.25
40,"APD 20",71.2999999999993,26.0925274500324,12129.25
40,"APD 50",108.799999999999,-4.24194305912808,12166.75
40,"APD 90",140.35,-44.6777312126871,12198.3
41,"APD 20",66.9500000000007,25.8483868423128,12417.45
41,"APD 50",103,-4.27246063509303,12453.5
41,"APD 90",133.6,-44.4335906049675,12484.1
42,"APD 20",67.3500000000004,25.8483868423128,12700.35
42,"APD 50",105.400000000001,-4.36401336298788,12738.4
42,"APD 90",137.35,-44.6166960607572,12770.35
43,"APD 20",68.9499999999989,25.3601056268736,12991.85
43,"APD 50",105.349999999999,-4.63867154667244,13028.25
43,"APD 90",137.549999999999,-44.5861784847923,13060.45
44,"APD 20",67.9500000000007,24.8107892595045,13285.7
44,"APD 50",103.800000000001,-5.03540003421679,13321.55
44,"APD 90",135.35,-44.6166960607572,13353.1
45,"APD 20",72.2999999999993,25.5432110826633,13584.5
45,"APD 50",108.35,-4.63867154667244,13620.55
45,"APD 90",139.85,-44.9523893963717,13652.05
46,"APD 20",75.4500000000007,26.4587383616119,13882.55
46,"APD 50",111.4,-4.02832002737343,13918.5
46,"APD 90",143.9,-44.6472136367222,13951
47,"APD 20",73.1499999999996,25.8789044182778,14175.45
47,"APD 50",110.949999999999,-4.54711881877759,14213.25
47,"APD 90",141.75,-44.9523893963717,14244.05
48,"APD 20",72.25,26.0009747221376,14472.65
48,"APD 50",109.15,-4.27246063509303,14509.55
48,"APD 90",139.949999999999,-44.5251433328624,14540.35
49,"APD 20",66.3500000000004,25.146482595119,14766.55
49,"APD 50",102.6,-4.88281215439204,14802.8
49,"APD 90",133,-44.8608366684768,14833.2
50,"APD 20",68.75,25.6652813865231,15050.3
50,"APD 50",104.299999999999,-4.48608366684768,15085.85
50,"APD 90",136.35,-44.5556609088273,15117.9
51,"APD 20",67,25.8483868423128,15347.05
51,"APD 50",103,-4.27246063509303,15383.05
51,"APD 90",134.599999999999,-44.3115203011077,15414.65
52,"APD 20",67,24.505613499855,15633.8
52,"APD 50",101.599999999999,-5.40161094579619,15668.4
52,"APD 90",132.15,-45.1049772761964,15698.95
53,"APD 20",67.7000000000007,25.3295880509087,15916.05
53,"APD 50",103.25,-4.69970669860234,15951.6
53,"APD 90",136.15,-44.7998015165469,15984.5
54,"APD 20",65.1000000000004,25.2990704749437,16197.5
54,"APD 50",101.800000000001,-4.60815397070749,16234.2
54,"APD 90",133.650000000001,-44.5251433328624,16266.05
55,"APD 20",59.5,24.2309553161705,16478.9
55,"APD 50",92.3500000000022,-5.46264609772609,16511.75
55,"APD 90",123.900000000001,-45.0744597002315,16543.3
56,"APD 20",67.2000000000007,25.5737286586283,16760.65
56,"APD 50",103.150000000001,-4.51660124281264,16796.6
56,"APD 90",133,-44.769283940582,16826.45
57,"APD 20",66.9500000000007,25.2380353230138,17051.1
57,"APD 50",101.700000000001,-4.76074185053224,17085.85
57,"APD 90",132.5,-44.8303190925119,17116.65
58,"APD 20",69.0999999999985,25.4516583547685,17337.6
58,"APD 50",105.699999999997,-4.60815397070749,17374.2
58,"APD 90",136.699999999997,-44.7998015165469,17405.2
59,"APD 20",67.1000000000022,25.7873516903829,17621.5
59,"APD 50",102.450000000001,-4.42504851491778,17656.85
59,"APD 90",133.850000000002,-44.8303190925119,17688.25
60,"APD 20",69.75,25.4211407788035,17909.65
60,"APD 50",105.549999999999,-4.57763639474254,17945.45
60,"APD 90",136.5,-44.7082487886521,17976.4
61,"APD 20",65.9000000000015,25.756834114418,18191
61,"APD 50",101.299999999999,-4.45556609088273,18226.4
61,"APD 90",132.299999999999,-44.738766364617,18257.4
62,"APD 20",65.8500000000022,25.0549298672241,18480.75
62,"APD 50",100.799999999999,-4.97436488228689,18515.7
62,"APD 90",131,-44.8303190925119,18545.9
63,"APD 20",66.8999999999978,25.756834114418,18763.45
63,"APD 50",102.200000000001,-4.42504851491778,18798.75
63,"APD 90",132.899999999998,-44.6472136367222,18829.45
64,"APD 20",62.9499999999971,25.2380353230138,19046.2
64,"APD 50",100.899999999998,-4.94384730632194,19084.15
64,"APD 90",131.25,-45.0744597002315,19114.5
65,"APD 20",70.5999999999985,25.0854474431891,19336.95
65,"APD 50",104.799999999999,-5.00488245825184,19371.15
65,"APD 90",136.650000000001,-44.8913542444418,19403
66,"APD 20",62.0500000000029,25.7873516903829,19622
66,"APD 50",97.25,-4.39453093895283,19657.2
66,"APD 90",127.350000000002,-44.6472136367222,19687.3
67,"APD 20",62.4499999999971,25.2685528989788,19895.2
67,"APD 50",96.2999999999993,-4.79125942649719,19929.05
67,"APD 90",126.149999999998,-44.769283940582,19958.9
68,"APD 20",66.6000000000022,24.9633771393293,20177.05
68,"APD 50",101.550000000003,-4.91332973035699,20212
68,"APD 90",132,-44.5251433328624,20242.45
69,"APD 20",64.4000000000015,24.1699201642406,20463.05
69,"APD 50",99.1500000000015,-5.61523397755084,20497.8
69,"APD 90",130.150000000001,-45.2880827319862,20528.8
70,"APD 20",66.1499999999978,24.7497541075746,20756.65
70,"APD 50",99.3499999999985,-5.06591761018174,20789.85
70,"APD 90",130.399999999998,-44.7998015165469,20820.9
71,"APD 20",65.2999999999993,24.7497541075746,21040.65
71,"APD 50",101.099999999999,-5.03540003421679,21076.45
71,"APD 90",130.849999999999,-44.6777312126871,21106.2
72,"APD 20",62.5999999999985,24.7192365316097,21315.65
72,"APD 50",98.0999999999985,-5.34057579386629,21351.15
72,"APD 90",131.349999999999,-45.2270475800563,21384.4
73,"APD 20",64.0999999999985,24.9328595633643,21603.1
73,"APD 50",99.0999999999985,-5.06591761018174,21638.1
73,"APD 90",130.099999999999,-45.1049772761964,21669.1
74,"APD 20",64.3999999999978,25.3601056268736,21884.45
74,"APD 50",99.0999999999985,-4.63867154667244,21919.15
74,"APD 90",129.299999999999,-44.7998015165469,21949.35
75,"APD 20",62.6999999999971,24.9023419873994,22169
75,"APD 50",95.1999999999971,-5.00488245825184,22201.5
75,"APD 90",125.149999999998,-44.7082487886521,22231.45
76,"APD 20",63.8500000000022,24.1394025882756,22451.05
76,"APD 50",97.0499999999993,-5.61523397755084,22484.25
76,"APD 90",128.950000000001,-45.1049772761964,22516.15
77,"APD 20",65.2999999999993,24.9938947152942,22736.6
77,"APD 50",100.199999999997,-5.00488245825184,22771.5
77,"APD 90",130.949999999997,-44.9829069723366,22802.25
78,"APD 20",64.2999999999993,25.2075177470489,23024.85
78,"APD 50",100.799999999999,-4.85229457842709,23061.35
78,"APD 90",132.349999999999,-44.9218718204067,23092.9
79,"APD 20",65.75,25.2990704749437,23308.9
79,"APD 50",100.900000000001,-4.82177700246214,23344.05
79,"APD 90",131,-45.0134245483016,23374.15
80,"APD 20",66.5,25.0549298672241,23590.6
80,"APD 50",101.049999999999,-5.03540003421679,23625.15
80,"APD 90",132.149999999998,-45.0744597002315,23656.25
81,"APD 20",63.8499999999985,24.6276838037148,23869.2
81,"APD 50",97.3499999999985,-5.15747033807659,23902.7
81,"APD 90",128.049999999999,-44.7998015165469,23933.4
82,"APD 20",67.5,25.6347638105582,24155.45
82,"APD 50",102.900000000001,-4.57763639474254,24190.85
82,"APD 90",133.900000000001,-44.8608366684768,24221.85
83,"APD 20",65.3500000000022,25.5737286586283,24436.6
83,"APD 50",99.25,-4.48608366684768,24470.5
83,"APD 90",130.850000000002,-44.6777312126871,24502.1
84,"APD 20",62.5499999999993,25.3295880509087,24723
84,"APD 50",98.5499999999993,-4.57763639474254,24759
84,"APD 90",129.650000000001,-44.5251433328624,24790.1
85,"APD 20",64.4500000000007,25.3906232028386,25008.6
85,"APD 50",99.9500000000007,-4.66918912263739,25044.1
85,"APD 90",131.349999999999,-44.769283940582,25075.5
86,"APD 20",62.8500000000022,25.2075177470489,25291.8
86,"APD 50",95.1500000000015,-4.88281215439204,25324.1
86,"APD 90",126.150000000001,-45.0439421242665,25355.1
87,"APD 20",62.7999999999993,25.146482595119,25573.4
87,"APD 50",97.9500000000007,-4.94384730632194,25608.55
87,"APD 90",128.75,-44.9523893963717,25639.35
88,"APD 20",61.5,24.5971662277499,25855.8
88,"APD 50",96.1999999999971,-5.31005821790134,25890.5
88,"APD 90",128.699999999997,-45.2270475800563,25923
89,"APD 20",63.0499999999993,24.9938947152942,26145.2
89,"APD 50",98.6500000000015,-4.85229457842709,26180.8
89,"APD 90",129.150000000001,-44.7082487886521,26211.3
90,"APD 20",62.25,24.505613499855,26432.45
90,"APD 50",95.75,-5.21850549000649,26465.95
90,"APD 90",126,-44.8608366684768,26496.2
91,"APD 20",66.8000000000029,24.9328595633643,26717.55
91,"APD 50",100.400000000001,-4.97436488228689,26751.15
91,"APD 90",130.150000000001,-45.0134245483016,26780.9
92,"APD 20",66.7000000000007,25.5432110826633,27002.15
92,"APD 50",100.700000000001,-4.88281215439204,27036.15
92,"APD 90",131.400000000001,-45.3491178839161,27066.85
93,"APD 20",57.7999999999993,24.3835431959952,27285.45
93,"APD 50",89.5999999999985,-5.27954064193639,27317.25
93,"APD 90",120.299999999999,-44.7998015165469,27347.95
94,"APD 20",64.9500000000007,25.0854474431891,27575.15
94,"APD 50",99.2000000000007,-5.09643518614669,27609.4
94,"APD 90",129.25,-45.379635459881,27639.45
95,"APD 20",61.75,24.7497541075746,27854.7
95,"APD 50",94.3500000000022,-5.06591761018174,27887.3
95,"APD 90",124.5,-44.8608366684768,27917.45
96,"APD 20",61.6500000000015,25.5432110826633,28141.1
96,"APD 50",95.9000000000015,-4.63867154667244,28175.35
96,"APD 90",127.200000000001,-44.738766364617,28206.65
97,"APD 20",62.1000000000022,24.4140607719602,28425.1
97,"APD 50",94.1500000000015,-5.37109336983124,28457.15
97,"APD 90",125.400000000001,-45.1660124281263,28488.4
98,"APD 20",60.75,24.4750959238901,28711.3
98,"APD 50",93.5,-5.18798791404154,28744.05
98,"APD 90",124.299999999999,-44.8303190925119,28774.85
99,"APD 20",61.7000000000007,24.4140607719602,28993.7
99,"APD 50",94.9500000000007,-5.37109336983124,29026.95
99,"APD 90",125.700000000001,-44.9218718204067,29057.7
100,"APD 20",63.4500000000007,24.2614728921354,29276.35
100,"APD 50",96.9000000000015,-5.61523397755084,29309.8
100,"APD 90",128.549999999999,-45.2575651560212,29341.45
101,"APD 20",59.5499999999993,24.5971662277499,29561.85
101,"APD 50",94.0499999999993,-5.09643518614669,29596.35
101,"APD 90",124.399999999998,-44.5861784847923,29626.7
102,"APD 20",60.4000000000015,25.0244122912592,29847.4
102,"APD 50",95.2000000000007,-4.82177700246214,29882.2
102,"APD 90",127.150000000001,-44.5556609088273,29914.15
103,"APD 20",57.6500000000015,24.3225080440653,30129.15
103,"APD 50",89.5,-5.49316367369104,30161
103,"APD 90",119.650000000001,-45.1965300040913,30191.15
104,"APD 20",62.25,24.5971662277499,30416.8
104,"APD 50",96.5499999999993,-5.31005821790134,30451.1
104,"APD 90",127.099999999999,-45.1660124281263,30481.65
105,"APD 20",61.6000000000022,24.4140607719602,30697.4
105,"APD 50",95.1500000000015,-5.37109336983124,30730.95
105,"APD 90",125.850000000002,-45.0744597002315,30761.65
106,"APD 20",63.7999999999993,24.8718244114344,30974.8
106,"APD 50",97.6500000000015,-5.15747033807659,31008.65
106,"APD 90",128.700000000001,-45.0134245483016,31039.7
107,"APD 20",63.25,24.5971662277499,31262.2
107,"APD 50",97.5,-5.15747033807659,31296.45
107,"APD 90",130.299999999999,-44.9218718204067,31329.25
108,"APD 20",62.0999999999985,24.3225080440653,31550.45
108,"APD 50",95.6999999999971,-5.43212852176114,31584.05
108,"APD 90",125.849999999999,-44.9829069723366,31614.2
109,"APD 20",58.5499999999993,23.8647444045911,31821.65
109,"APD 50",91.3499999999985,-5.21850549000649,31854.45
109,"APD 90",121.699999999997,-44.0368621174232,31884.8
110,"APD 20",58.4500000000007,23.4374983410818,32093.15
110,"APD 50",89.5999999999985,-5.8898921612354,32124.3
110,"APD 90",120.700000000001,-44.738766364617,32155.4
111,"APD 20",57.9000000000015,24.4140607719602,32367.6
111,"APD 50",90.0999999999985,-5.06591761018174,32399.8
111,"APD 90",119.849999999999,-44.3725554530376,32429.55
112,"APD 20",60.4500000000007,24.2309553161705,32655.15
112,"APD 50",91.2000000000007,-5.37109336983124,32685.9
112,"APD 90",120.700000000001,-44.769283940582,32715.4
113,"APD 20",62.75,23.8342268286261,32931.2
113,"APD 50",94.25,-5.76782185737559,32962.7
113,"APD 90",125,-45.0744597002315,32993.45
114,"APD 20",64.3499999999985,24.8107892595045,33206.4
114,"APD 50",96.5999999999985,-5.21850549000649,33238.65
114,"APD 90",127.650000000001,-44.9523893963717,33269.7
115,"APD 20",59.4000000000015,24.0783674363457,33487.55
115,"APD 50",93.6500000000015,-5.49316367369104,33521.8
115,"APD 90",124.650000000001,-44.8608366684768,33552.8
116,"APD 20",60.4499999999971,24.6887189556447,33776.55
116,"APD 50",93,-5.00488245825184,33809.1
116,"APD 90",123.049999999996,-44.4946257568974,33839.15
117,"APD 20",58.25,24.3225080440653,34059.85
117,"APD 50",91.4499999999971,-5.67626912948074,34093.05
117,"APD 90",122.75,-45.5322233397058,34124.35
118,"APD 20",64.8999999999942,24.5666486517849,34349.65
118,"APD 50",98.0499999999956,-5.40161094579619,34382.8
118,"APD 90",128.349999999999,-45.379635459881,34413.1
119,"APD 20",62.9499999999971,25.0244122912592,34636.3
119,"APD 50",96.6999999999971,-5.09643518614669,34670.05
119,"APD 90",126.650000000001,-45.1965300040913,34700
120,"APD 20",60.8499999999985,24.7497541075746,34930.45
120,"APD 50",95.1999999999971,-5.31005821790134,34964.8
120,"APD 90",125.5,-45.379635459881,34995.1
121,"APD 20",63.3499999999985,25.115965019154,35221.05
121,"APD 50",96.9000000000015,-5.03540003421679,35254.6
121,"APD 90",127.25,-45.2270475800563,35284.95
122,"APD 20",60.6500000000015,23.8647444045911,35506.55
122,"APD 50",91.4000000000015,-6.10351519299005,35537.3
