"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
164,8.1,-23.4999983585441
164,8.2,-23.4999983585441
165,8.1,-23.9999983236196
166,8.1,-23.4999983585442
167,8.1,-23.9999983236196
168,8,-23.9999983236194
169,8.2,-23.4999983585441
170,8.2,-23.4999983585441
171,8.1,-23.4999983585441
171,8.2,-23.4999983585441
172,8.1,-23.4999983585442
173,8.2,-24.499998288695
