"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 10 (ms)","APD 20 (ms)","APD 50 (ms)","APD 70 (ms)","APD 90 (ms)"
"17421007",-75.0825212094751,59.6954359046095,134.777957114085,176.474002967939,-3.67736824625839,0.952237131997885,0.0851111111111113,11.1881647362676,15.32,42.24,109.48,126.84,135.68
"17421043",-75.3337419182153,52.1447765561516,127.478518474367,206.454472388053,-29.8492438312452,0.188561808316413,0.018,10.4756560175785,7.4,15.44,32.68,39.08,42.92
"17502013",-64.9420180531297,64.3273940159543,129.269412069084,91.7175313469219,-6.17980970844195,0.664680374315354,0.0438444444444444,15.1599679899599,8.92,23.36,52.48,62.68,67.56
"17n30006",-71.2829555986163,54.0161107156224,125.299066314239,283.813463082088,-148.228229566766,0.818358248093233,0.0838444444444445,9.76043497593307,2.58,8.088,73.888,120.844,141.992
"17n30010",-67.8100553729452,45.7153298598883,113.525385232834,250.244128739046,-170.389803104878,1.43636957485027,0.065337037037037,21.9840023360112,4.408,11.104,48.104,93.18,110.176
"17n30015",-74.7619593396225,56.8237277697678,131.58568710939,343.322737599295,-152.587883377499,1.23696546255567,0.0448755555555555,27.5643487248712,7.38,29.12,96.552,119.32,128.636
"18215008",-80.6707781703199,50.4510509323564,131.121829102676,205.557255571124,-32.5408942820333,0.782531504513112,0.04,19.5632876128278,15.08,35.16,85.08,101,109.6
"18215024",-81.9762591565309,42.9516611162944,124.927920272825,122.470095510858,-4.88281260913936,0.570399470157148,0.0969999999999999,5.88040690883658,3.68,11.92,30.08,38.92,45.28
"18215031",-90.0280781841594,41.2371835389104,131.26526172307,121.209719506124,-3.56140144679133,1.2350798444725,0.0403407407407409,30.616191517405,17.28,39.08,98.84,116.32,125.12
"18215035",-85.9184589516772,48.5827647577844,134.501223709462,177.294925837849,-4.58984385259114,1.29164838696742,0.0565037037037037,22.859534903068,24.68,57.8,129.76,144.76,151.72
"18215051",-81.7886370820247,50.4779064017066,132.266543483731,226.251225760235,-61.4044203178084,0.655252283899533,0.0212962962962962,30.7683681135434,11.36,26.92,72.2,85.96,93.28
"18215066",-78.54046806411,50.2862560067979,128.826724070908,148.519900780616,-5.26733410210909,0.542115198909684,0.0294444444444444,18.4114595856119,11.76,25.12,56.6,66.92,72.52
"18215070",-100.000002235174,33.3691413708584,133.369143606033,230.767827423687,-153.140262212015,1.07008826219564,0.0236222222222222,45.3000675435595,19.28,42.96,98.24,112.16,119.64
"18d03014",-89.9399434165644,-49.8962413496429,40.0437020669215,0.56152345005103,-108.126833471511,0.0094280904158206,0.0031111111111111,3.03045763365663,0,0,0.199999999999999,1,2.4
"18d03018",-82.6616839765389,49.622193491955,132.283877468494,179.946903436188,-4.92858897735017,0.697678690770727,0.0224148148148148,31.1257842875241,7.16,18.4,53.4,65.84,72.24
"18d03022",-82.6860980395846,51.3049327873796,133.991030826964,260.94360934817,-129.669192351458,0.391265752256556,0.0231777777777778,16.881072724396,10.2,23.88,64.96,79.84,89.32
"18d12023",-78.6378191405047,52.2692882776846,130.907107418189,204.824833679753,-3.5552979310295,0.91923881554251,0.0513555555555556,17.8995009517148,16.68,41.6,103.24,121.68,130.76
"18d12027",-82.0867327918127,47.1813975389614,129.268130330774,248.916631540281,-3.42102058427827,0.89566858950296,0.0236148148148147,37.9282495554893,8.68,22.12,66.92,86.6,97.52
"18d12055",-79.3621233559129,47.7819834898856,127.144106845798,118.301394245805,-66.2353530429757,0.810815775760574,0.0460888888888888,17.5924348646219,18.52,38.36,85.04,100.96,109.36
"19307008 2",-67.704464557648,47.9919410798801,115.696405637528,108.978266308185,-4.42504861794643,1.35293097467026,0.0812962962962962,16.641975542641,8.2,23.6,70.96,89.96,98
"19307008",-82.8590716762633,49.9603282651379,132.819399941401,299.545294781295,-84.8724384204847,1.07008826219564,0.0385407407407407,27.765119238211,11.88,30.96,83.2,100.96,109.6
"19307012",-75.0620744316743,49.8950206464906,124.957095078165,197.024540536655,-79.2785662251393,0.900382634710868,0.030274074074074,29.741046167352,16.64,36.64,84.32,95.12,100.12
"19314014",-65.9979216699544,45.2392556637507,111.237177333705,112.823480969298,-4.82177711472788,0.292270802890439,0.0243555555555556,12.000169826706,3.52,7.68,18.24,24.96,31.24
