"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18703041",-73.6584948550135,47.0899967108017,120.748491565815,293.399979506249,-21.6999984842727,0.351196367989319,2.4,14.52,44.38
"18703045",-73.8274948432089,56.8599960283751,130.687490871584,361.799974728564,-20.6999985541219,0.905096679918781,3.08,27.46,53.06
"18703049",-69.093495173875,61.6399956944959,130.733490868371,359.799974868262,-25.2999982328157,0.601040764008566,1.78,11.34,47.9
"18703056",-66.2194953746216,57.6399959738927,123.859491348514,314.199978053386,-17.2999987916091,0.631682057859983,2.48,14.94,46.92
"18703059",-74.3144948091924,56.6299960444404,130.944490853633,359.899974861278,-30.2999978835694,0.299341870702305,1.12,9.32,26.68
"18703064",-72.3144949488908,58.6399959040435,130.954490852934,357.199975049868,-14.9999989522622,0.674108464731174,7.36,28.18,50.08
"18704027",-67.4529952884626,58.629995904742,126.082991193205,254.399982230367,-22.4999984283931,0.742462120245875,6.12,34.64,79.62
"18704033",-73.8309948429645,51.7699963839074,125.600991226872,325.499977264093,-12.8999990989455,0.457262385167299,4.98,22.58,45.78
"18704039",-73.774994846876,55.8999960954303,129.674990942306,379.799973471282,-13.1999990779907,0.362981481009095,4.58,18.86,38.64
"18704043",-72.9629949035936,78.9499944854065,151.912989389,296.699979275745,-59.0999958719131,0.68589357775095,0.699999999999999,23.42,58.58
"18704047",-73.8829635893345,60.6799957615512,134.562959350886,343.699975992835,-60.9999957391994,0.190918830920367,0.519999999999999,3.7,19.3
"18704052",-73.2854948810672,66.6499953445515,139.935490225619,298.599979143033,-50.5999964656303,0.320555074137903,0.879999999999999,13.9,39.08
"18704056",-73.124994892278,55.49999612337,128.624991015648,336.399976502734,-17.5999987706541,0.629325035256026,5.26,22.38,55.04
"18704060",-75.1884947481442,45.4599968246558,120.6484915728,289.999979743734,-5.9166662533924,0.869741340859453,13.92,41.08,80.24
"18710037",-75.0784947558276,46.7899967317564,121.868491487584,301.599978933489,-22.1999984493481,0.271057599454842,1.4,6.86,26.58
"18710042",-71.0089950400789,52.3499963433949,123.358991383474,349.999975552785,-26.4999981489966,0.584541605780879,1.4,11.62,40.24
"18710046",-68.6479952049928,53.079996292405,121.727991497398,351.599975441021,-27.0833314415845,0.266343554246933,1.14,8.9,29.24
"18710050",-74.0209948296931,51.5699963978773,125.59099122757,349.099975615648,-24.2999983026646,0.591612673592745,1.42,11.7,41.3
