"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
64,9.2,0.999999930150878
64,10.7,0.999999930150878
64,23.5,0.999999930150878
64,45.6,0.999999930150878
64,89.1,0.999999930150878
64,129.7,0.999999930150878
65,23.2,0.999999930150807
65,23.6,0.999999930150807
65,39.8,0.999999930150807
65,117.1,0.999999930150807
65,123.2,0.999999930150807
65,143.8,0.999999930150807
65,150.4,0.999999930150807
65,156.3,0.999999930150807
65,157.7,0.999999930150807
65,160.7,0.999999930150807
65,161.7,0.999999930150807
65,163.5,0.999999930150807
65,168.3,0.999999930150807
65,172.3,0.999999930150807
65,174.9,0.999999930150807
65,175.4,0.999999930150807
65,178.9,0.999999930150807
65,179.6,0.999999930150807
65,180.1,0.999999930150807
65,181.1,0.999999930150807
65,181.9,0.999999930150807
65,182.6,0.999999930150807
65,188,0.999999930150807
65,195,0.999999930150807
65,196.5,0.999999930150807
65,196.8,0.999999930150807
65,197.1,0.999999930150807
65,199.1,0.999999930150807
65,199.8,0.999999930150807
65,200.6,0.999999930150807
65,201.6,0.999999930150807
65,202.1,0.999999930150807
65,202.4,0.999999930150807
65,205.3,0.999999930150807
65,211.9,0.999999930150807
65,221.7,0.999999930150807
65,223.2,0.999999930150807
65,225.8,0.999999930150807
65,226.8,0.999999930150807
65,228,0.999999930150807
65,228.8,0.999999930150807
65,229.1,0.999999930150807
65,230.9,0.999999930150807
65,232.4,0.999999930150807
65,237.9,0.999999930150807
65,239.7,0.999999930150807
65,244.9,0.999999930150807
65,253.2,0.999999930150807
65,255.1,0.999999930150807
66,23.7,1.99999986030161
67,22.6,1.99999986030165
67,23.3,1.99999986030165
68,22.6,0.999999930150842
68,22.9,0.999999930150842
68,23.1,0.999999930150842
68,23.4,0.999999930150842
68,23.5,0.999999930150842
68,24.9,0.999999930150842
68,26.4,0.999999930150842
