"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
17,"APD 20",9.25,15.2587881088257,6341.3
17,"APD 50",23.9499999999998,-13.4277334213257,6356
17,"APD 90",39.9000000000005,-51.8188438415527,6371.95
18,"APD 20",8.85000000000036,16.1132793426514,6611.95
18,"APD 50",24.3500000000004,-12.9394521713257,6627.45
18,"APD 90",40,-51.4526329040527,6643.1
19,"APD 20",9.04999999999927,15.6249990463257,6884.25
19,"APD 50",24,-13.2446279525757,6899.2
19,"APD 90",40.2999999999993,-51.8798789978027,6915.5
20,"APD 20",8.75,15.9912099838257,7172.45
20,"APD 50",23.6999999999998,-13.0004873275757,7187.4
20,"APD 90",39.9499999999998,-51.5136680603027,7203.65
21,"APD 20",8.94999999999982,15.9301748275757,7405
21,"APD 50",23.9499999999998,-12.8784170150757,7420
21,"APD 90",39.8500000000004,-51.3305625915527,7435.9
