"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
84,"APD 20",19,-4.76074171066284,25959.55
84,"APD 50",39.75,-30.8837871551514,25980.3
84,"APD 90",61.75,-65.4907150268555,26002.3
85,"APD 20",18.7999999999993,-4.57763624191284,26373.95
85,"APD 50",39.25,-30.6396465301514,26394.4
85,"APD 90",61.25,-65.5517501831055,26416.4
86,"APD 20",18.3500000000022,-4.69970655441284,26826.6
86,"APD 50",39.8000000000029,-30.7617168426514,26848.05
86,"APD 90",61.0500000000029,-65.4296798706055,26869.3
87,"APD 20",18.0999999999985,-4.63867139816284,27187.4
87,"APD 50",38.75,-31.0058574676514,27208.05
87,"APD 90",60.5999999999985,-66.1621017456055,27229.9
88,"APD 20",17.5500000000029,-4.45556592941284,27642.3
88,"APD 50",38.75,-30.7617168426514,27663.5
88,"APD 90",60.1500000000015,-65.6127853393555,27684.9
