"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
55,"APD 20",23.3999999999996,-6.40869140625,14093.6
55,"APD 50",42.2000000000007,-28.076171875,14112.4
55,"APD 90",72.75,-57.06787109375,14142.95
56,"APD 20",21.9500000000007,-5.79833984375,14330.4
56,"APD 50",42.0499999999993,-27.77099609375,14350.5
56,"APD 90",72.5499999999993,-57.06787109375,14381
57,"APD 20",24.5,-5.4931640625,14560.1
57,"APD 50",44.7000000000007,-27.4658203125,14580.3
57,"APD 90",73.25,-56.15234375,14608.85
58,"APD 20",22.8499999999985,-6.103515625,14795.25
58,"APD 50",41.8499999999985,-27.77099609375,14814.25
58,"APD 90",72.4499999999989,-57.06787109375,14844.85
59,"APD 20",24.5499999999993,-6.103515625,15037.5
59,"APD 50",43.3500000000004,-27.77099609375,15056.3
59,"APD 90",73.5499999999993,-56.7626953125,15086.5
