"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
12,"APD 20",11.5499999999997,-6.95800733566284,2848.25
12,"APD 50",25.2999999999997,-25.0244121551514,2862
12,"APD 90",51.5499999999997,-49.0722618103027,2888.25
13,"APD 20",11.5,-7.87353467941284,3063.25
13,"APD 50",24.5500000000002,-25.5126934051514,3076.3
13,"APD 90",50.9500000000003,-49.0722618103027,3102.7
14,"APD 20",11.5499999999997,-6.34765577316284,3323.5
14,"APD 50",24.6999999999998,-24.7192363739014,3336.65
14,"APD 90",50.8499999999999,-49.1943321228027,3362.8
15,"APD 20",11.9500000000003,-6.71386671066284,3520.95
15,"APD 50",23.6000000000004,-25.0244121551514,3532.6
15,"APD 90",50.8500000000004,-49.3164024353027,3559.85
16,"APD 20",11.9000000000001,-6.65283155441284,3770.65
16,"APD 50",24.6000000000004,-24.5361309051514,3783.35
16,"APD 90",49.9000000000001,-48.4619102478027,3808.65
