"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
23,"APD 20",13.3000000000002,14.6484365463257,6540.7
23,"APD 50",29,-10.7421865463257,6556.4
23,"APD 90",48.5500000000002,-44.3725547790527,6575.95
24,"APD 20",12.5500000000002,14.7705068588257,6865.9
24,"APD 50",28.1999999999998,-10.6201162338257,6881.55
24,"APD 90",48.1000000000004,-44.6166954040527,6901.45
25,"APD 20",12.6499999999996,14.5263662338257,7405.6
25,"APD 50",28.7999999999993,-11.1694326400757,7421.75
25,"APD 90",50,-45.2880821228027,7442.95
26,"APD 20",13.0999999999995,14.6484365463257,7887.25
26,"APD 50",29.0999999999995,-11.1083974838257,7903.25
26,"APD 90",49.8999999999996,-45.6542930603027,7924.05
27,"APD 20",13.3499999999985,14.7705068588257,8293.6
27,"APD 50",29.5499999999993,-10.9252920150757,8309.8
27,"APD 90",50.2999999999993,-45.2880821228027,8330.55
