"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
18,"APD 20",8.69999999999982,-8.60595607757568,6869.85
18,"APD 50",20.3000000000002,-31.7993144989014,6881.45
18,"APD 90",53.1499999999996,-62.9882774353027,6914.3
19,"APD 20",8.34999999999945,-7.69042921066284,7252.8
19,"APD 50",20.2999999999993,-31.2499980926514,7264.75
19,"APD 90",53.25,-62.8662071228027,7297.7
20,"APD 20",8.04999999999927,-6.89697217941284,7646.5
20,"APD 50",20.1499999999996,-30.7006816864014,7658.6
20,"APD 90",53.5999999999995,-62.3779258728027,7692.05
21,"APD 20",8.34999999999945,-7.69042921066284,8152
21,"APD 50",20.5,-31.3110332489014,8164.15
21,"APD 90",53.5499999999993,-62.9272422790527,8197.2
22,"APD 20",8.44999999999891,-6.83593702316284,8517.7
22,"APD 50",20.4499999999989,-30.9448223114014,8529.7
22,"APD 90",52.1499999999996,-62.9882774353027,8561.4
