"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
108,"APD 20",17.6000000000022,0.854492127895355,24490.1
108,"APD 50",34.7000000000007,-23.8037090301514,24507.2
108,"APD 90",63.25,-56.7626914978027,24535.75
109,"APD 20",17,-0.183105453848839,24759.5
109,"APD 50",34.25,-24.3530254364014,24776.75
109,"APD 90",63.8500000000022,-56.8847618103027,24806.35
110,"APD 20",16.8500000000022,-0.183105453848839,24983.1
110,"APD 50",34.2000000000007,-24.4140605926514,25000.45
110,"APD 90",63,-56.8237266540527,25029.25
111,"APD 20",18.0499999999993,0.427246063947678,25231.6
111,"APD 50",35.25,-23.8037090301514,25248.8
111,"APD 90",63.4499999999971,-56.3964805603027,25277
112,"APD 20",17.9000000000015,0.671386659145355,25489.05
112,"APD 50",34.0499999999993,-23.9257793426514,25505.2
112,"APD 90",64.1500000000015,-56.8847618103027,25535.3
