"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
9,"APD 20",18,9.58251857757568,2333.55
9,"APD 50",44.3000000000002,-18.8598613739014,2359.85
9,"APD 90",78.2000000000003,-56.8237266540527,2393.75
10,"APD 20",17.5500000000002,9.39941310882568,2585.25
10,"APD 50",44.9499999999998,-18.7377910614014,2612.65
10,"APD 90",77.3499999999999,-56.1523399353027,2645.05
11,"APD 20",17.5500000000002,9.76562404632568,2852.7
11,"APD 50",43.9000000000001,-18.5546855926514,2879.05
11,"APD 90",79.1500000000001,-56.4575157165527,2914.3
12,"APD 20",18.1500000000001,9.09423732757568,3122.35
12,"APD 50",44.9499999999998,-18.8598613739014,3149.15
12,"APD 90",78.0499999999997,-55.9692344665527,3182.25
13,"APD 20",17.4000000000001,8.97216701507568,3375.9
13,"APD 50",43.4500000000003,-18.9819316864014,3401.95
13,"APD 90",78.5500000000002,-56.2744102478027,3437.05
