"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
22,"APD 20",13.5,0.610351502895355,5640.5
22,"APD 50",31.4000000000005,-23.7426738739014,5658.4
22,"APD 90",69.7000000000007,-56.0302696228027,5696.7
23,"APD 20",14.4000000000005,0.732421815395355,5905.4
23,"APD 50",32.7000000000007,-23.5595684051514,5923.7
23,"APD 90",69.9500000000007,-56.1523399353027,5960.95
24,"APD 20",14.4500000000007,1.15966784954071,6214.2
24,"APD 50",33.0500000000002,-23.1933574676514,6232.8
24,"APD 90",68.3500000000004,-55.4199180603027,6268.1
25,"APD 20",14.8000000000002,0.732421815395355,6457.35
25,"APD 50",31.6000000000004,-23.3764629364014,6474.15
25,"APD 90",68.5,-55.8471641540527,6511.05
26,"APD 20",13.9500000000007,1.09863269329071,6747.2
26,"APD 50",30.9000000000005,-23.4374980926514,6764.15
26,"APD 90",67.5,-56.2133750915527,6800.75
