"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
29,"APD 20",12.5,-2.68554663658142,6017.9
29,"APD 50",27.1499999999996,-21.4843730926514,6032.55
29,"APD 90",54.6999999999998,-46.6308555603027,6060.1
30,"APD 20",12.5999999999995,-2.50244116783142,6234.3
30,"APD 50",27.0499999999993,-21.3012676239014,6248.75
30,"APD 90",55.5999999999995,-46.3867149353027,6277.3
31,"APD 20",12.3000000000002,-2.50244116783142,6427.65
31,"APD 50",26.6499999999996,-21.0571269989014,6442
31,"APD 90",55.3500000000004,-45.9594688415527,6470.7
32,"APD 20",12.0999999999995,-2.38037085533142,6626.8
32,"APD 50",26.4499999999998,-20.8740215301514,6641.15
32,"APD 90",53.5499999999993,-45.5932579040527,6668.25
33,"APD 20",13.1499999999996,-3.05175757408142,6831.25
33,"APD 50",26.8000000000002,-21.3623027801514,6844.9
33,"APD 90",53.0500000000002,-45.9594688415527,6871.15
