"Sweep (n)","APD","APD value (ms)","APD value (mV)"
4,"APD 20",73,21.3806142188503
4,"APD 50",101.8,-17.4224845240389
4,"APD 90",188,-68.8598600105822
5,"APD 20",68.2,21.4172353108609
5,"APD 50",96.6,-17.3553458553528
5,"APD 90",195.8,-68.9788785596166
6,"APD 20",63.6,21.8383778689827
6,"APD 50",94.8,-16.5435783157847
6,"APD 90",197.4,-67.9595914986551
7,"APD 20",64.8,22.3999012798118
7,"APD 50",93.8,-16.4306632820854
7,"APD 90",187.4,-68.0938688360273
8,"APD 20",61.8,21.328734338502
8,"APD 50",91.2,-17.1203605149515
8,"APD 90",229.2,-68.7683072805557
