"Sweep (n)","APD","APD value (ms)","APD value (mV)"
163,"APD 20",0.499999999999998,36.6999974365347
163,"APD 50",7.2,-7.09999950407075
163,"APD 90",42.8,-67.8499952607325
164,"APD 20",0.499999999999998,38.4999973108062
164,"APD 50",7.1,-6.84999952153305
164,"APD 90",42.8,-67.7999952642249
165,"APD 20",0.499999999999998,35.4999975203538
165,"APD 50",7.2,-7.54999947263862
165,"APD 90",43,-67.7999952642249
166,"APD 20",0.499999999999998,37.9499973492232
166,"APD 50",7.2,-6.89999951804059
166,"APD 90",42.1,-67.7999952642249
167,"APD 20",0.499999999999998,38.1999973317609
167,"APD 50",7.1,-6.94999951454813
167,"APD 90",42.1,-67.8499952607325
