"Sweep (n)","APD","APD value (ms)","APD value (mV)"
371,"APD 20",0.800000000000001,22.0999984563329
371,"APD 50",4.3,-14.0499990186189
371,"APD 90",28.4,-64.2499955121896
372,"APD 20",0.700000000000001,24.5499982852024
372,"APD 50",4.3,-14.3499989976641
372,"APD 90",28.5,-64.2999955086971
373,"APD 20",0.7,24.5999982817099
373,"APD 50",4.3,-14.0999990151264
373,"APD 90",28.1,-64.2999955086971
374,"APD 20",0.800000000000001,22.2999984423631
374,"APD 50",4.4,-14.4999989871867
374,"APD 90",28.2,-64.2999955086971
375,"APD 20",0.7,24.049998320127
375,"APD 50",4.3,-14.5999989802018
375,"APD 90",28,-64.3499955052046
376,"APD 20",0.7,23.6499983480667
376,"APD 50",4.4,-14.6999989732169
376,"APD 90",28,-64.3999955017122
377,"APD 20",0.8,22.3999984353781
377,"APD 50",4.3,-14.1999990081415
377,"APD 90",28,-64.2999955086971
378,"APD 20",0.8,22.7499984109309
378,"APD 50",4.4,-14.3999989941717
378,"APD 90",28,-64.3999955017122
379,"APD 20",0.7,23.9499983271119
379,"APD 50",4.3,-14.4499989906792
379,"APD 90",27.9,-64.3999955017122
380,"APD 20",0.8,22.4499984318857
380,"APD 50",4.4,-14.5499989836943
380,"APD 90",27.9,-64.2999955086971
