"Sweep (n)","APD","APD value (ms)","APD value (mV)"
111,"APD 20",2.2,25.9999981839211
111,"APD 50",11.1,-11.1499992211815
111,"APD 90",51.9,-60.8499957496768
112,"APD 20",2.1,26.0999981769361
112,"APD 50",11.1,-11.3499992072117
112,"APD 90",51.9,-60.7999957531693
113,"APD 20",2.3,25.6499982083683
113,"APD 50",11.2,-11.1999992176891
113,"APD 90",52.1,-60.7999957531693
114,"APD 20",2.2,25.6999982048758
114,"APD 50",11.2,-11.2999992107042
114,"APD 90",52.1,-60.8999957461843
115,"APD 20",2.1,26.549998145504
115,"APD 50",11.1,-11.099999224674
115,"APD 90",51.7,-60.7999957531693
