"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18711043",-70.3279950876462,44.6599968805352,114.987991968181,241.29998314539,-25.6999982048757,0.101351971970072,1.16,5.88,30.48
"18711047",-71.0679950359578,59.6999958300034,130.767990865961,300.899978982377,-43.0999969894997,0.134350288425444,1,9.08,32.16
"18711051",-71.5819950000553,66.2199953745866,137.801990374642,283.999980162831,-74.3999948032205,0.101351971970072,0.46,3.3,21.72
"18711055",-74.894463518682,46.8699967261685,121.764460244851,293.39997950625,-31.4999977997502,0.143778378841264,0.92,4.64,25.42
"18711059",-73.1689948892046,48.2999966262841,121.468991515489,334.29997664942,-22.3999984353781,0.113137084989848,1.7,8.08,31.68
"18711072",-73.1454948908461,58.7599958956616,131.905490786508,320.59997760635,-46.0999967799526,0.139064333633353,0.72,5.3,26.68
"18712050",-71.5164950046304,46.3699967610931,117.886491765723,279.799980456198,-30.2999978835694,0.0895668589502963,1,4.58,20.18
"18712054",-76.400494663487,55.8499960989228,132.25049076241,319.599977676197,-43.3999969685454,0.117851130197758,0.820000000000001,6.68,24.66
"18712063",-72.6814949232561,64.179995517079,136.861490440335,292.599979562129,-44.8999968637712,0.22391714737574,1.82,14.36,41.64
"18712067",-74.9269947664098,56.3299960653951,131.256990831805,307.899978493434,-25.9999981839209,0.15084944665313,1.94,13.22,41.52
"18712073",-75.2559947434294,55.539996120576,130.795990864005,265.599981448055,-53.7999962421137,0.0659966329107451,0.619999999999999,3.5,15.9
"18713034",-80.9324943469304,52.0799963622542,133.012490709185,324.099977361876,-43.3999969685451,0.266343554246933,0.96,10.52,43.52
"18713039",-77.985494552776,55.3899961310534,133.375490683829,345.299975881076,-45.699996807892,0.202703943940144,0.88,7.62,34.38
"18713045",-72.885994908972,51.3399964139426,124.225991322915,265.099981482978,-34.0999976181424,0.358267435801184,1.68,12.34,51.24
"18716030",-84.4419941017947,62.2499956518879,146.691989753683,293.999979464337,-70.899995047692,0.263986531642978,0.539999999999999,6.82,48.64
"18716034",-85.642962767908,59.1299958698174,144.772958637725,290.199979729764,-85.3999940348799,0.134350288425444,0.42,2.7,21.12
"18716043",-88.1789938407683,58.8299958907722,147.00898973154,289.999979743733,-54.6999961792491,0.193275853524322,0.899999999999999,10.1,35.34
"18716047",-75.8124947045583,35.9499974889216,111.76249219348,236.099983508605,-15.6999989033678,0.315841028929991,2.36,9.02,45.94
"18716052",-85.4729940297802,51.9199963734301,137.39299040321,370.599974113888,-28.2999980232681,0.127279220613578,1.9,11.24,43.24
"18716056",-67.2819953004068,54.4499961967116,121.731991497118,202.399985862527,-29.1999979604039,0.339411254969542,2.94,25.26,108.02
