"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
460,7.2,-29.9999979045241
461,7.2,-29.999997904524
462,7.2,-29.9999979045241
463,7.2,-30.9999978346749
464,7.2,-29.999997904524
465,7.2,-29.9999979045241
466,7.2,-28.9999979743733
467,7.2,-30.9999978346749
468,7.2,-26.9999981140717
469,7.2,-28.9999979743734
