"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18703043",-73.9569948341635,47.9899966479374,121.946991482101,259.599981867151,-33.2999976740218,0.186204785712458,2.39083333333333,0.0778827963941964,1.36,10.12,35.6
"18703047",-71.9829949720458,57.0199960171992,129.002990989245,272.299980980066,-27.5999980721624,0.275771644662754,2.81305555555556,0.0980327758256061,1.76,13.84,42.1
"18703054",-68.370995224341,69.4599951482753,137.830990372616,300.299979024289,-54.7999961722646,0.200346921336188,2.25061111111111,0.0890188981770727,0.7,7.92,35.86
"18703061",-73.5349948636398,55.559996119179,129.094990982819,323.299977417756,-32.3999977368863,0.242773328207381,2.19027777777778,0.110841341984346,1.12,9.84,32.42
"18704029",-74.8599947710896,-38.8599972856605,35.9999974854292,8.59999939929705,-55.5999961163847,1.06301719438378,4.55527777777778,0.233359467027355,0.199999999999999,0.399999999999999,14.24
"18704035",-72.5009324358683,46.2999967659825,118.800929201851,264.29998153886,-13.0999990849757,0.230988215187605,2.59144444444444,0.0891349284692555,4.02,17.78,38.74
"18704041",-67.5819952794521,51.5199964013697,119.101991680822,305.999978626146,-13.2999990710057,0.233345237791561,2.77872222222222,0.0839757338554513,4.18,16.9,41.7
"18704045",-75.5539322226187,77.6299945776074,153.183926800226,252.799982342128,-62.5999956274404,0.398336820068422,4.25572222222222,0.0936002866889234,0.68,22.02,63.52
"18704049",-73.9909948317886,56.4299960584102,130.420990890199,268.499981245491,-56.7999960325658,0.150849446653131,1.48788888888889,0.101384886855214,0.56,4.06,21.96
"18704054",-75.1469947510429,58.8799958872797,134.026990638323,294.599979422428,-38.7999972898512,0.202703943940144,2.65055555555556,0.0764760216081028,1.38,12.9,39.14
"18704058",-74.5949947895997,51.9999963678421,126.594991157442,321.699977529518,-16.4999988474883,0.259272486435067,3.18122222222222,0.0815009038425343,4.84,18.8,44.04
"18710040",-74.7269947803796,37.9999973457308,112.72699212611,250.299982516749,-20.899998540152,0.176776695296637,1.70872222222222,0.103455490305929,1.48,8.36,25.9
"18710044",-67.5169952839923,46.309996765284,113.826992049276,284.099980155844,-22.7999984074387,0.261629509039023,2.29327777777778,0.114085398452056,1.54,10.94,39.24
"18710048",-57.409995989958,13.4299990619254,70.8399950518834,82.0999942653811,-5.69999960185965,0.271057599454843,2.10172222222222,0.128969278903206,3.76,12.42,32.66
"18710052",-72.8349949125343,45.1699968449121,118.004991757446,274.299980840367,-22.4166651008808,0.339411254969542,2.47611111111111,0.137074323299344,1.42,10.14,35.86
