"Sweep (n)","APD","APD value (ms)","APD value (mV)"
64,"APD 20",1.1,28.5499980058056
64,"APD 50",6.1,-7.54999947263862
64,"APD 90",40.4,-56.5499960500283
65,"APD 20",1.1,28.3499980197755
65,"APD 50",6.2,-7.94999944469894
65,"APD 90",40.3,-56.4499960570132
66,"APD 20",1.1,28.4999980092981
66,"APD 50",6.1,-7.94999944469894
66,"APD 90",40.5,-56.4999960535208
67,"APD 20",1.1,28.1999980302528
67,"APD 50",6.1,-7.8999994481914
67,"APD 90",40.5,-56.5999960465359
68,"APD 20",1.1,28.4999980092981
68,"APD 50",6.1,-7.6499994656537
68,"APD 90",40.5,-56.5999960465359
