"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
684,6.8,-34.4999975902027
685,6.8,-33.9999976251274
686,6.9,-33.999997625128
687,6.9,-34.4999975902034
688,6.8,-34.9999975552781
689,6.9,-33.4999976600525
690,6.8,-33.9999976251273
691,6.8,-34.9999975552781
692,6.9,-34.4999975902033
693,6.9,-34.4999975902034
