"Sweep (n)","Peak x (ms)","Peak y (mV)"
339,8.4,60.3999957811089
340,8.3,59.849995819526
341,8.5,60.4499957776165
342,8.3,60.2499957915863
343,8.5,60.3499957846014
344,8.5,60.0999958020637
345,8.4,60.0999958020637
346,8.5,60.4499957776165
347,8.4,60.3999957811089
348,8.4,59.9499958125411
