"Sweep (n)","APD","APD value (ms)","APD value (mV)"
437,"APD 20",1.9,31.3499978102279
437,"APD 50",18.4,-9.14999936087991
437,"APD 90",55.7,-63.6999955506066
438,"APD 20",1.7,31.8999977718108
438,"APD 50",18.1,-9.24999935389499
438,"APD 90",55.8,-63.6999955506066
439,"APD 20",1.9,31.5499977962581
439,"APD 50",18.5,-9.14999936087991
439,"APD 90",55.8,-63.6999955506066
440,"APD 20",1.8,31.7499977822882
440,"APD 50",18,-8.74999938881959
440,"APD 90",55.6,-63.0999955925161
441,"APD 20",1.8,30.8499978451525
441,"APD 50",18,-9.14999936087991
441,"APD 90",55.4,-62.7999956134709
