"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","RR (ms)","Frequency (Hz)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"C1 2019_04_23_0000 Tyr",-64.9035568237305,16.6137680053711,81.5173248291016,60.7910079956374,-10.2538909912003,238.410000000001,4.19445493058176,1.32818223732861,0.0450277777777764,29.4969528339491,17.480000000001,34.4900000000001,63.5400000000001
"C1 2019_04_30_0000 Tyr",-64.0331970214844,17.0654277801514,81.0986248016357,49.804687500183,-10.0097656250702,277.04,3.60958706323997,1.38710780242762,0.0273425925925932,50.7306612469283,14.2200000000004,31.9300000000005,68.8000000000004
"C1 2019_05_15_0000 Tyr",-74.4042892456055,12.7929677963257,87.1972570419312,51.4439174109173,-10.9863281251599,416.75,2.3995200959808,0.778995970607334,0.0330722222222422,23.5543884947481,18.3600000000006,39.2600000000006,60.9600000000006
"C1 2019_06_06_0000 Tyr",-65.7641525268555,28.0761699676514,93.8403224945068,93.7500000001652,-10.9863281249933,269.82,3.70617448669483,1.21150961843299,0.0385592592592582,31.4194214750663,17.7300000000001,44.31,78.26
"C1 2019_06_14_0000 Tyr",-53.5864219665527,31.7260723114014,85.3124942779541,65.1041603090007,-7.81250000003375,363.44,2.75148580233326,0.0671751442127091,0.00297222222222091,22.6009830996131,12.9899999999996,28.9299999999996,49.3699999999999
"C1 2019_07_03_0000 Tyr",-49.1296348571777,8.26415929794311,57.3937941551209,8.08715811934039,-8.54492169624824,179.98,5.5561729081009,1.17851130197757,0.0211666666666653,55.6776993060306,11.6400000000003,22.94,44.4400000000001
"C2 2019_05_16_0001 Tyr",-52.3693809509277,9.79003810882568,62.1594190597534,17.7001857756924,-6.59179687507372,202.76,4.93193923850858,1.16672618895772,0.0289481481481478,40.304000897977,12.5299999999997,26.8199999999997,54.4499999999998
"C2 2019_06_03_0001 Tyr",-70.7592697143555,8.25195226669311,79.0112219810486,25.8789062500169,-11.7187500000817,442.12,2.26182936759251,1.29636243217508,0.032925925925919,39.3720873664055,8.37999999999938,20.3399999999996,53.1399999999996
"C3 2019_05_31_0003 Tyrode",-57.0373497009277,-3.21044896841049,53.8269007325172,7.52766927085406,-7.81250000011369,287.73,3.47548048517708,3.11951941633505,0.0506203703703762,61.6257722634254,12.2800000000003,25.6199999999997,62.6599999999999
"C3 2019_06_03_0002 Tyr",-55.0988731384277,5.10253863334656,60.2014117717743,11.8582589285568,-7.32421779635011,223.37,4.47687693065318,1.38946482503157,0.0356648148148127,38.9589805035095,11.69,24.5500000000001,50.8200000000001
"C3 2019_06_14_0002 Tyr",-61.2951622009277,35.0097618103027,96.3049240112305,113.037102222031,-11.9628906250453,281.02,3.55846558963775,0.358267435801078,0.00653703703703862,54.8057833803216,8.96999999999989,23.99,40
"C6 2019_05_27_0005 Tyr",-64.080810546875,8.544921875,72.625732421875,26.5370244569079,-30.517578125222,238.1,4.19991600167997,1.84437018759486,0.0349166666666657,52.8220578786132,23.4499999999996,42.8299999999999,72.9099999999995
