"Sweep (n)","APD","APD value (ms)","APD value (mV)"
212,"APD 20",2.2,13.6999990430661
212,"APD 50",8.9,-20.1999985890464
212,"APD 90",46.2,-64.6499954842499
213,"APD 20",2.4,13.3999990640209
213,"APD 50",9,-19.799998616986
213,"APD 90",46.1,-64.6499954842499
214,"APD 20",2.4,13.4499990605284
214,"APD 50",9.1,-19.8499986134936
214,"APD 90",45.9,-64.6999954807574
215,"APD 20",2.4,13.599999050051
215,"APD 50",9.1,-19.7499986204785
215,"APD 90",45.8,-64.5999954877423
216,"APD 20",2.4,13.8999990290963
216,"APD 50",9,-19.5499986344483
216,"APD 90",45.7,-64.6499954842499
