"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
7,34.78,335.693343430369
8,34.84,427.246073456985
9,34.72,396.728496781486
10,34.84,350.952131768238
11,34.64,381.469708443601
