"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,3464.4,4.88281215446307
2,336,4.88281215428543
3,807.15,4.27246063515518
3,1637.95,4.27246063515518
4,1451.15,4.27246063515518
4,1947.9,4.27246063515518
4,3352.65,4.27246063515518
5,1264.25,4.88281215446321
6,2238.65,4.8828121541078
7,61.2999999999993,4.88281215446321
7,2746.35,4.88281215446321
8,1986.65,4.27246063515526
9,1684.1,4.27246063546619
10,1486.4,5.49316367417063
11,1692.14999999999,4.88281215481834
12,912.849999999999,4.88281215481834
12,2661.3,4.88281215481834
13,2958.39999999999,4.27246063546605
14,2208.35,4.27246063546612
15,1818.95,4.27246063546608
16,1805.05,4.88281215481841
17,2094.25,4.27246063546612
18,1752.95,4.88281215410783
18,1753.5,4.88281215410783
19,537.049999999996,4.27246063546605
19,952.299999999996,4.27246063546605
19,1012.8,4.27246063546605
20,1802.95,4.27246063608777
21,1193.95,4.27246063608777
21,2136.7,4.27246063608777
22,1987.85000000001,4.27246063608777
23,2.30000000000291,30.517575963174
24,1419.2,4.27246063484439
24,1425.75,4.27246063484439
25,1841,4.88281215410794
26,347.149999999994,4.88281215410794
27,1381.45,5.49316367497006
28,1421,4.27246063484432
29,1813.25,4.27246063484446
30,1373.3,4.27246063484446
31,68.7000000000116,4.27246063484432
31,1419.85000000001,4.27246063484432
31,1857.55,4.27246063484432
31,1860.10000000001,4.27246063484432
32,586.600000000006,4.27246063484432
32,1161.65000000001,4.27246063484432
32,1713.5,4.27246063484432
33,1129.05,4.27246063484434
34,788.850000000006,4.88281215410794
35,593.549999999988,4.27246063608777
36,1260.95,4.27246063608777
37,123.75,4.8828121541078
38,791.049999999988,4.27246063608777
38,1037.79999999999,4.27246063608777
39,1534.7,4.8828121541078
40,1254.05,4.88281215410787
41,463.699999999997,4.27246063484446
42,90.5,4.27246063608791
42,2034.75,4.27246063608791
42,2045.25,4.27246063608791
43,90.5,4.27246063484432
43,599.5,4.27246063484432
43,901.75,4.27246063484432
43,1221.40000000001,4.27246063484432
44,1627.74999999999,4.27246063608784
45,1269.8,4.27246063484436
46,1241.79999999999,4.88281215552895
47,1096.89999999999,4.8828121541078
48,1084.15000000001,4.88281215268675
49,889.850000000006,4.27246063608791
50,175.949999999983,4.27246063608791
51,1544.34999999998,4.27246063608791
51,1844.09999999998,4.27246063608791
52,1180.14999999999,4.27246063608777
53,683.299999999988,4.27246063608791
54,1.39999999999418,4.27246063608777
