"Sweep (n)","APD","APD value (ms)","APD value (mV)"
66,"APD 20",3.5,24.049998320127
66,"APD 50",30.7,-14.0999990151264
66,"APD 90",70.7,-65.0999954528178
67,"APD 20",3.6,23.6499983480667
67,"APD 50",30.2,-14.2999990011566
67,"APD 90",69.8,-65.2499954423404
68,"APD 20",3.5,23.5499983550516
68,"APD 50",29.4,-14.4999989871867
68,"APD 90",69.3,-65.2999954388479
69,"APD 20",3.5,23.4499983620365
69,"APD 50",30.2,-14.6499989767094
69,"APD 90",70.3,-65.2999954388479
70,"APD 20",3.6,23.399998365529
70,"APD 50",30.3,-14.5999989802018
70,"APD 90",68.1,-65.399995431863
71,"APD 20",3.6,23.3499983690214
71,"APD 50",29.4,-14.799998966232
71,"APD 90",67.3,-65.399995431863
72,"APD 20",3.8,23.0999983864837
72,"APD 50",30.5,-14.7499989697245
72,"APD 90",68,-65.4999954248781
73,"APD 20",3.7,22.9499983969611
73,"APD 50",30.6,-14.9999989522622
73,"APD 90",69.5,-65.5999954178932
74,"APD 20",3.7,22.9499983969611
74,"APD 50",29.8,-15.0499989487697
74,"APD 90",68,-65.5999954178932
75,"APD 20",3.7,22.8999984004536
75,"APD 50",28.9,-14.9999989522622
75,"APD 90",66.7,-65.6499954144007
