"Sweep (n)","APD","APD value (ms)","APD value (mV)"
80,"APD 20",1.3,11.1999992176891
80,"APD 50",5.6,-21.8999984703027
80,"APD 90",30.6,-65.4499954283705
81,"APD 20",1.3,10.1499992910307
81,"APD 50",5.6,-22.6499984179158
81,"APD 90",30.8,-65.6999954109082
82,"APD 20",1.3,10.8999992386438
82,"APD 50",5.6,-22.199998449348
82,"APD 90",31,-65.6499954144007
83,"APD 20",1.4,9.54999933294024
83,"APD 50",5.7,-22.5999984214083
83,"APD 90",31.5,-65.6999954109082
84,"APD 20",1.3,10.3499992770609
84,"APD 50",5.6,-22.1499984528404
84,"APD 90",30.6,-65.7999954039233
85,"APD 20",1.3,10.4999992665835
85,"APD 50",5.6,-21.6999984842726
85,"APD 90",30.9,-65.6499954144007
86,"APD 20",1.3,11.099999224674
86,"APD 50",5.6,-21.9999984633178
86,"APD 90",30.6,-65.6499954144007
87,"APD 20",1.3,10.7999992456288
87,"APD 50",5.5,-22.0999984563329
87,"APD 90",30,-65.8999953969384
88,"APD 20",1.3,11.4999991967343
88,"APD 50",5.7,-22.0499984598254
88,"APD 90",30.2,-65.6999954109082
89,"APD 20",1.3,10.549999263091
89,"APD 50",5.6,-21.7499984807801
89,"APD 90",30.3,-65.3499954353555
