"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
38,135.2,-3.58581550983642
39,137,-3.49426277341556
40,136.4,-3.49426277341506
41,136.2,-3.60107429923997
42,137,-3.60107429924049
