"Sweep (n)","APD","APD value (ms)","APD value (mV)"
170,"APD 20",2.1,16.4999988474884
170,"APD 50",9.2,-19.2999986519106
170,"APD 90",43.7,-66.2999953689987
171,"APD 20",2.2,16.099998875428
171,"APD 50",9.2,-19.2999986519106
171,"APD 90",43.6,-66.3999953620138
172,"APD 20",2.1,16.099998875428
172,"APD 50",8.9,-18.9999986728654
172,"APD 90",43.6,-66.2999953689987
173,"APD 20",2.1,16.2499988649507
173,"APD 50",9.2,-19.4999986379408
173,"APD 90",43.4,-66.3499953655063
174,"APD 20",2.1,16.099998875428
174,"APD 50",8.8,-18.9499986763579
174,"APD 90",43.4,-66.2499953724912
