"Sweep (n)","APD","APD value (ms)","APD value (mV)"
717,"APD 20",1.2,34.2499976076653
717,"APD 50",11.1,-7.6499994656537
717,"APD 90",35.6,-62.7999956134709
718,"APD 20",1.2,33.6999976460823
718,"APD 50",11,-7.19999949708583
718,"APD 90",35.6,-62.7999956134709
719,"APD 20",1.2,34.1499976146502
719,"APD 50",11.1,-7.29999949010091
719,"APD 90",35.7,-62.7999956134709
720,"APD 20",1.1,34.6499975797256
720,"APD 50",11.1,-7.399999483116
720,"APD 90",35.7,-62.8499956099784
721,"APD 20",1.2,33.8999976321125
721,"APD 50",11.2,-7.54999947263862
721,"APD 90",35.8,-62.8499956099784
