"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
183,8.3,-18.4999987077897
184,8.3,-18.999998672865
185,8.2,-18.9999986728655
186,8.4,-19.4999986379408
187,8.2,-19.4999986379409
