"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
100,16.9,0.999999930150842
100,17.4,0.999999930150842
100,17.7,0.999999930150842
100,18.1,0.999999930150842
100,18.9,0.999999930150842
100,19.1,0.999999930150842
100,19.3,0.999999930150842
100,19.8,0.999999930150842
100,20.2,0.999999930150842
100,21,0.999999930150842
100,28.9,0.999999930150842
101,16.6,0.999999930150807
101,17.2,0.999999930150807
101,17.3,0.999999930150807
101,18.5,0.999999930150807
101,18.7,0.999999930150807
101,20.8,0.999999930150807
101,21.6,0.999999930150807
101,143.8,0.999999930150807
101,149.7,0.999999930150807
101,153.8,0.999999930150807
101,158.9,0.999999930150807
101,159.2,0.999999930150807
101,163.5,0.999999930150807
101,163.7,0.999999930150807
101,164,0.999999930150807
101,164.8,0.999999930150807
101,167.3,0.999999930150807
101,167.7,0.999999930150807
101,171.3,0.999999930150807
101,173.5,0.999999930150807
101,173.8,0.999999930150807
101,175.4,0.999999930150807
101,175.8,0.999999930150807
101,180.1,0.999999930150807
101,180.9,0.999999930150807
101,181.6,0.999999930150807
101,181.9,0.999999930150807
101,183.8,0.999999930150807
101,184.1,0.999999930150807
101,185,0.999999930150807
101,185.2,0.999999930150807
101,185.9,0.999999930150807
101,186.7,0.999999930150807
101,187.5,0.999999930150807
101,187.9,0.999999930150807
101,188.2,0.999999930150807
101,190.8,0.999999930150807
101,191.4,0.999999930150807
101,192,0.999999930150807
101,192.3,0.999999930150807
101,194.5,0.999999930150807
101,196.3,0.999999930150807
101,198.1,0.999999930150807
101,222.2,0.999999930150807
101,226.1,0.999999930150807
101,235.3,0.999999930150807
101,243,0.999999930150807
101,243.4,0.999999930150807
101,244.4,0.999999930150807
101,246,0.999999930150807
101,246.8,0.999999930150807
101,247,0.999999930150807
101,247.4,0.999999930150807
101,248.7,0.999999930150807
101,250.4,0.999999930150807
101,251.2,0.999999930150807
101,251.9,0.999999930150807
101,253.3,0.999999930150807
101,254.3,0.999999930150807
102,16.2,0.999999930150842
102,16.7,0.999999930150842
102,17.4,0.999999930150842
102,18.6,0.999999930150842
102,20.3,0.999999930150842
102,22.6,0.999999930150842
103,16.5,0.999999930150842
103,17.4,0.999999930150842
103,17.7,0.999999930150842
103,18.6,0.999999930150842
103,20.5,0.999999930150842
103,80.7,0.999999930150842
104,17,0.999999930150842
104,17.7,0.999999930150842
104,17.9,0.999999930150842
104,18.1,0.999999930150842
104,18.6,0.999999930150842
104,19.1,0.999999930150842
104,28.9,0.999999930150842
105,17.7,0.999999930150842
105,17.9,0.999999930150842
105,18.2,0.999999930150842
105,18.8,0.999999930150842
105,19.8,0.999999930150842
105,20.2,0.999999930150842
106,17,0.999999930150842
106,17.5,0.999999930150842
106,18.2,0.999999930150842
106,19.1,0.999999930150842
106,19.8,0.999999930150842
106,20.9,0.999999930150842
106,79.5,0.999999930150842
107,16.8,0.999999930150807
107,17.2,0.999999930150807
107,17.4,0.999999930150807
107,18,0.999999930150807
107,18.3,0.999999930150807
107,18.4,0.999999930150807
107,18.6,0.999999930150807
107,19.5,0.999999930150807
107,19.7,0.999999930150807
107,19.9,0.999999930150807
107,28.5,0.999999930150807
107,37.4,0.999999930150807
107,41.9,0.999999930150807
107,148.3,0.999999930150807
107,149.7,0.999999930150807
107,150.7,0.999999930150807
107,155.9,0.999999930150807
107,157,0.999999930150807
107,160.7,0.999999930150807
107,163.2,0.999999930150807
107,163.9,0.999999930150807
107,164.4,0.999999930150807
107,170.1,0.999999930150807
107,172.3,0.999999930150807
107,177.9,0.999999930150807
107,178.3,0.999999930150807
107,178.6,0.999999930150807
107,178.9,0.999999930150807
107,179.4,0.999999930150807
107,180.1,0.999999930150807
107,181.6,0.999999930150807
107,181.9,0.999999930150807
107,183.4,0.999999930150807
107,183.8,0.999999930150807
107,184.2,0.999999930150807
107,184.9,0.999999930150807
107,186,0.999999930150807
107,188.3,0.999999930150807
107,191.4,0.999999930150807
107,192.3,0.999999930150807
107,192.9,0.999999930150807
107,194,0.999999930150807
107,194.4,0.999999930150807
107,194.7,0.999999930150807
107,195.2,0.999999930150807
107,195.5,0.999999930150807
107,196,0.999999930150807
107,197.1,0.999999930150807
107,202.4,0.999999930150807
107,203.4,0.999999930150807
107,204.3,0.999999930150807
