"Sweep (n)","APD","APD value (ms)","APD value (mV)"
25,"APD 20",6.4,40.6494149710852
25,"APD 50",32.4,-1.7639160550516
25,"APD 90",45.4,-57.6843274612202
26,"APD 20",6.2,40.9729013064407
26,"APD 50",32.2,-1.54724124552104
26,"APD 90",45.4,-57.9559339126036
27,"APD 20",6.4,40.7958993493594
27,"APD 50",32,-1.35803225691689
27,"APD 90",45.2,-57.6660169139359
28,"APD 20",6.4,40.747071223268
28,"APD 50",32,-1.39160159360472
28,"APD 90",45.4,-57.9803479756493
29,"APD 20",6.2,40.9393319697529
29,"APD 50",31.6,-1.17187502619345
29,"APD 90",45,-57.696534492743
