"Sweep (n)","APD","APD value (ms)","APD value (mV)"
133,"APD 20",27.2,33.6578376663738
133,"APD 50",76.4,-5.45349133283253
133,"APD 90",108.8,-57.6263440614867
134,"APD 20",26.8,34.2926033055619
134,"APD 50",76.2,-4.98962413496429
134,"APD 90",108.6,-57.7453626188344
135,"APD 20",24.8,35.2111824276563
135,"APD 50",76.4,-4.56542978954531
135,"APD 90",109.6,-57.5897229669181
136,"APD 20",27,34.2346199058284
136,"APD 50",77.8,-5.13610851323847
136,"APD 90",110.6,-57.7728284397608
137,"APD 20",27.2,34.1278083800035
137,"APD 50",79,-5.2703858599898
137,"APD 90",111.6,-57.4371350728825
