"Sweep (n)","APD","APD value (ms)","APD value (mV)"
703,"APD 20",1.4,31.7999977787958
703,"APD 50",12.7,-8.04999943771402
703,"APD 90",39.1,-61.699995690305
704,"APD 20",1.4,32.099997757841
704,"APD 50",13,-8.19999942723664
704,"APD 90",39.1,-61.7999956833201
705,"APD 20",1.3,32.4499977333938
705,"APD 50",12.8,-8.29999942025172
705,"APD 90",39,-61.7999956833201
706,"APD 20",1.4,31.7499977822882
706,"APD 50",13.1,-8.04999943771402
706,"APD 90",39.2,-61.7999956833201
707,"APD 20",1.4,31.8999977718108
707,"APD 50",12.9,-8.09999943422156
707,"APD 90",39.3,-61.6499956937975
