"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
42,"APD 20",21.3000000000002,9.88769435882568,7457.45
42,"APD 50",46.8499999999995,-22.2778301239014,7483
42,"APD 90",69.5500000000002,-65.0634689331055,7505.7
43,"APD 20",21.0500000000002,9.58251857757568,7635.95
43,"APD 50",46,-22.5219707489014,7660.9
43,"APD 90",69.5499999999993,-65.3686447143555,7684.45
44,"APD 20",21.3999999999996,9.21630764007568,7812.25
44,"APD 50",47.1499999999996,-22.9492168426514,7838
44,"APD 90",70.0999999999995,-65.4907150268555,7860.95
45,"APD 20",20.8999999999996,9.39941310882568,7991.95
45,"APD 50",47.4499999999998,-22.5830059051514,8018.5
45,"APD 90",70.25,-65.3686447143555,8041.3
46,"APD 20",21.25,9.58251857757568,8161.7
46,"APD 50",46.9000000000005,-22.3999004364014,8187.35
46,"APD 90",69.6000000000004,-65.0634689331055,8210.05
