"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
74,"APD 20",15.8500000000004,0.122070305049419,11459.55
74,"APD 50",29.4500000000007,-23.6816387176514,11473.15
74,"APD 90",52.1499999999996,-55.1757774353027,11495.85
75,"APD 20",14.2999999999993,0.854492127895355,11608.25
75,"APD 50",28.25,-23.0712871551514,11622.2
75,"APD 90",51.8999999999996,-54.9316368103027,11645.85
76,"APD 20",15.6000000000004,1.40380847454071,11769.7
76,"APD 50",28.8500000000004,-22.9492168426514,11782.95
76,"APD 90",51.8500000000004,-54.9926719665527,11805.95
77,"APD 20",14.6499999999996,0.488281220197678,11923.2
77,"APD 50",29,-23.2543926239014,11937.55
77,"APD 90",51.5499999999993,-54.6264610290527,11960.1
78,"APD 20",15.1999999999989,0.915527284145355,12082.35
78,"APD 50",29.1999999999989,-23.0102519989014,12096.35
78,"APD 90",52.1999999999989,-54.7485313415527,12119.35
