"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
174,"APD 20",10.6500000000015,5.37109327316284,30177.15
174,"APD 50",29.3000000000029,-25.6347637176514,30195.8
174,"APD 90",54.6000000000022,-67.0165939331055,30221.1
175,"APD 20",10.7999999999993,5.55419874191284,30362.2
175,"APD 50",29.7000000000007,-25.5737285614014,30381.1
175,"APD 90",54.7000000000007,-66.7724533081055,30406.1
176,"APD 20",11.2000000000007,4.76074171066284,30519.85
176,"APD 50",29.5,-25.7568340301514,30538.15
176,"APD 90",54.4500000000007,-66.2231369018555,30563.1
177,"APD 20",11.6499999999978,5.00488233566284,30687.55
177,"APD 50",29.5,-25.5126934051514,30705.4
177,"APD 90",54.5499999999993,-66.1621017456055,30730.45
178,"APD 20",11.5499999999993,4.63867139816284,30853.5
178,"APD 50",30.4000000000015,-26.0009746551514,30872.35
178,"APD 90",54.6500000000015,-66.8334884643555,30896.6
