"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
12,"APD 20",12.8,5.85937452316284,1791.7
12,"APD 50",29.2,-19.0429668426514,1808.1
12,"APD 90",48.8,-52.4291954040527,1827.7
13,"APD 20",12.5999999999999,5.24902296066284,1929.55
13,"APD 50",28.8499999999999,-19.3481426239014,1945.8
13,"APD 90",48.5,-52.1240196228027,1965.45
14,"APD 20",13.4000000000001,5.92040967941284,2070.95
14,"APD 50",29.3000000000002,-18.9819316864014,2086.85
14,"APD 90",48.4000000000001,-52.1240196228027,2105.95
15,"APD 20",13.25,5.43212842941284,2208.95
15,"APD 50",28.8000000000002,-19.2260723114014,2224.5
15,"APD 90",48.9000000000001,-52.1850547790527,2244.6
16,"APD 20",14.3000000000002,4.76074171066284,2344.25
16,"APD 50",30.25,-19.5922832489014,2360.2
16,"APD 90",49.0999999999999,-52.0629844665527,2379.05
