"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
105,"APD 20",19.9500000000007,-6.16455030441284,12645.05
105,"APD 50",39.8000000000011,-33.0200157165527,12664.9
105,"APD 90",55.1499999999996,-68.9086837768555,12680.25
106,"APD 20",20.1000000000004,-6.83593702316284,12763.4
106,"APD 50",39.4499999999989,-33.5082969665527,12782.75
106,"APD 90",54.6000000000004,-69.0307540893555,12797.9
107,"APD 20",20.2999999999993,-5.85937452316284,12883
107,"APD 50",39.5499999999993,-32.9589805603027,12902.25
107,"APD 90",54.5499999999993,-68.9086837768555,12917.25
108,"APD 20",20.1500000000015,-6.22558546066284,13001.15
108,"APD 50",39.2000000000007,-33.2031211853027,13020.2
108,"APD 90",54.4500000000007,-69.0307540893555,13035.45
109,"APD 20",20.3500000000004,-6.65283155441284,13120.45
109,"APD 50",39.3000000000011,-33.3251914978027,13139.4
109,"APD 90",54.4500000000007,-68.9086837768555,13154.55
