"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
315,"APD 20",18.6500000000015,2.80761694908142,39421.7
315,"APD 50",32.4000000000015,-22.0336894989014,39435.45
315,"APD 90",50.4000000000015,-55.0537071228027,39453.45
316,"APD 20",19.2000000000044,3.35693335533142,39542.6
316,"APD 50",32.7000000000044,-21.6674785614014,39556.1
316,"APD 90",50.8500000000058,-54.9316368103027,39574.25
317,"APD 20",18.5,2.68554663658142,39662.85
317,"APD 50",32.6500000000015,-22.2778301239014,39677
317,"APD 90",50.6999999999971,-55.4809532165527,39695.05
318,"APD 20",18.5999999999985,3.78417944908142,39784.3
318,"APD 50",32.4000000000015,-21.3623027801514,39798.1
318,"APD 90",50.9000000000015,-54.9926719665527,39816.6
319,"APD 20",17.5999999999985,2.74658179283142,39905.8
319,"APD 50",31.75,-21.8505840301514,39919.95
319,"APD 90",50.5500000000029,-54.7485313415527,39938.75
