"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
62,"APD 20",16.4500000000007,19.5922832489014,7354.95
62,"APD 50",35.4000000000005,-10.7421865463257,7373.9
62,"APD 90",52.4000000000005,-51.0864219665527,7390.9
63,"APD 20",16.9000000000005,19.2871074676514,7470.15
63,"APD 50",35.4000000000005,-10.6811513900757,7488.65
63,"APD 90",51.8000000000002,-50.2929649353027,7505.05
64,"APD 20",16.1999999999998,19.4702129364014,7584.65
64,"APD 50",34.8499999999995,-10.4980459213257,7603.3
64,"APD 90",51.3499999999995,-50.4760704040527,7619.8
65,"APD 20",16.4499999999998,19.1650371551514,7698.6
65,"APD 50",35,-10.7421865463257,7717.15
65,"APD 90",51.4499999999998,-50.6591758728027,7733.6
66,"APD 20",17.1499999999996,18.9819316864014,7814.45
66,"APD 50",35.1499999999996,-10.9863271713257,7832.45
66,"APD 90",51.3500000000004,-50.5981407165527,7848.65
