"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
58,"APD 20",13.9500000000007,5.67626905441284,9086.55
58,"APD 50",33.5,-21.3012676239014,9106.1
58,"APD 90",62.7000000000007,-57.4951133728027,9135.3
59,"APD 20",14.2000000000007,6.16455030441284,9243
59,"APD 50",34.5499999999993,-20.9960918426514,9263.35
59,"APD 90",63.2999999999993,-57.1289024353027,9292.1
60,"APD 20",14.25,6.53076124191284,9397
60,"APD 50",34.6499999999996,-20.8129863739014,9417.4
60,"APD 90",64.6999999999989,-57.1289024353027,9447.45
61,"APD 20",14.0500000000011,6.46972608566284,9554.4
61,"APD 50",35.3000000000011,-20.7519512176514,9575.65
61,"APD 90",64.9000000000015,-57.0678672790527,9605.25
62,"APD 20",13.3500000000004,6.40869092941284,9707.5
62,"APD 50",34.5,-20.8740215301514,9728.65
62,"APD 90",64.3999999999996,-57.1899375915527,9758.55
