"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
119,"APD 20",13,11.1083974838257,12691.75
119,"APD 50",26.75,-17.9443340301514,12705.5
119,"APD 90",39.6000000000004,-56.5185508728027,12718.35
120,"APD 20",13.4500000000007,10.1928701400757,12790.8
120,"APD 50",27.2000000000007,-18.4326152801514,12804.55
120,"APD 90",39.1499999999996,-56.4575157165527,12816.5
121,"APD 20",13.5999999999985,10.6811513900757,12896.75
121,"APD 50",26.5499999999993,-18.1274394989014,12909.7
121,"APD 90",38.9499999999989,-56.2744102478027,12922.1
122,"APD 20",13.6500000000015,10.3759756088257,13002.9
122,"APD 50",27,-18.3715801239014,13016.25
122,"APD 90",38.9000000000015,-56.5795860290527,13028.15
123,"APD 20",12.9500000000007,10.7421865463257,13104.55
123,"APD 50",26.6000000000004,-18.1884746551514,13118.2
123,"APD 90",38.8999999999996,-56.5795860290527,13130.5
