"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
150,"APD 20",26.4499999999971,-3.662109375,22417.25
150,"APD 50",45.1499999999978,-25.32958984375,22435.95
150,"APD 90",69.5999999999985,-54.3212890625,22460.4
151,"APD 20",25.3499999999985,-3.0517578125,22558
151,"APD 50",44.1500000000015,-24.71923828125,22576.8
151,"APD 90",68.4500000000007,-53.7109375,22601.1
152,"APD 20",25.8000000000029,-3.662109375,22700.3
152,"APD 50",44.5,-25.32958984375,22719
152,"APD 90",69.3000000000029,-54.62646484375,22743.8
153,"APD 20",23.9000000000015,-3.35693359375,22847.05
153,"APD 50",43.9000000000015,-25.32958984375,22867.05
153,"APD 90",68.9500000000007,-54.3212890625,22892.1
154,"APD 20",25.3500000000022,-3.0517578125,22993.85
154,"APD 50",44.4500000000007,-24.71923828125,23012.95
154,"APD 90",69.6000000000022,-53.7109375,23038.1
