"Sweep (n)","APD","APD value (ms)","APD value (mV)","NA"
236,"APD 20",18.8499999999985,-0.793456971645355,34483.9
236,"APD 50",35.0999999999985,-24.2309551239014,34500.15
236,"APD 90",61.6500000000015,-55.3588829040527,34526.7
237,"APD 20",17.4000000000015,-1.03759753704071,34620.85
237,"APD 50",33.4499999999971,-24.4140605926514,34636.9
237,"APD 90",60.9000000000015,-55.3588829040527,34664.35
238,"APD 20",17.5500000000029,-1.15966784954071,34765.7
238,"APD 50",33.6000000000058,-24.4140605926514,34781.75
238,"APD 90",60.5,-55.5419883728027,34808.65
239,"APD 20",17.6000000000058,-0.671386659145355,34907
239,"APD 50",34,-23.9868144989014,34923.4
239,"APD 90",59.5,-54.8706016540527,34948.9
240,"APD 20",17.5500000000029,-2.01415991783142,35043.5
240,"APD 50",32.1500000000015,-24.8413066864014,35058.1
240,"APD 90",59.4000000000015,-55.3588829040527,35085.35
