"Sweep (n)","APD","APD value (ms)","APD value (mV)"
15,"APD 20",6,-8.23974570238308
15,"APD 50",25.5,-35.7055647103267
15,"APD 70",72.5,-54.6264622491323
15,"APD 90",162,-73.5473597879379
16,"APD 20",5.5,-6.10351533509858
16,"APD 50",26.5,-35.4003889435717
16,"APD 70",71.5,-54.3212864823773
16,"APD 90",161,-73.5473597879379
17,"APD 20",6,-7.32421840211829
17,"APD 50",26,-35.7055647103267
17,"APD 70",70.5,-54.3212864823773
17,"APD 90",159.5,-73.2421840211829
18,"APD 20",5.5,-6.10351533509858
18,"APD 50",26,-35.0952131768168
18,"APD 70",70.5,-54.0161107156224
18,"APD 90",161,-73.2421840211829
19,"APD 20",5.5,-7.01904263536336
19,"APD 50",25,-35.0952131768168
19,"APD 70",69.5,-54.0161107156224
19,"APD 90",160,-73.2421840211829
