"Sweep (n)","APD","APD value (ms)","APD value (mV)"
36,"APD 20",15.2,25.9582507201742
36,"APD 50",42.2,-3.97644024081672
36,"APD 90",174.8,-43.9178445937018
37,"APD 20",15.8,26.0742175115411
37,"APD 50",42.6,-3.8513181764472
37,"APD 90",181.6,-43.8568094403508
38,"APD 20",16.8,25.6988513184326
38,"APD 50",46.6,-3.92456036046839
38,"APD 90",180,-43.5760477349363
39,"APD 20",17,25.9002673244908
39,"APD 50",43.2,-3.98254375615182
39,"APD 90",177,-44.0185525967309
40,"APD 20",14.8,26.2115466065808
40,"APD 50",42.2,-3.88488751079024
40,"APD 90",179,-43.9758279893853
