"Sweep (n)","Ediast (mV)"
74,-70.5249950738859
75,-70.5924950691711
76,-70.5249950738859
77,-70.5199950742351
78,-70.5149950745844
79,-70.4899950763306
80,-70.4999950756321
81,-70.4974950758067
82,-70.5949950689965
83,-70.6299950665517
