"Sweep (n)","APD","APD value (ms)","APD value (mV)"
306,"APD 20",1.3,19.6499986274634
306,"APD 50",7.7,-16.6999988335185
306,"APD 90",23.7,-64.2999955086971
307,"APD 20",1.4,18.8499986833428
307,"APD 50",7.9,-16.5499988439959
307,"APD 90",23.7,-64.3499955052046
308,"APD 20",1.4,19.149998662388
308,"APD 50",7.9,-16.3499988579657
308,"APD 90",23.8,-64.199995515682
309,"APD 20",1.3,19.799998616986
309,"APD 50",7.8,-16.3499988579657
309,"APD 90",23.6,-64.1499955191745
310,"APD 20",1.3,19.4499986414333
310,"APD 50",7.7,-16.5499988439959
310,"APD 90",23.5,-64.199995515682
