"Sweep (n)","APD","APD value (ms)","APD value (mV)"
474,"APD 20",1.9,22.3499984388706
474,"APD 50",11,-13.3999990640209
474,"APD 90",38.1,-61.3499957147522
475,"APD 20",1.8,22.199998449348
475,"APD 50",10.9,-13.6499990465586
475,"APD 90",38.1,-61.4499957077673
476,"APD 20",1.8,22.4499984318857
476,"APD 50",10.8,-13.5499990535435
476,"APD 90",37.8,-61.4499957077673
477,"APD 20",1.8,22.5999984214083
477,"APD 50",11,-13.1499990814832
477,"APD 90",37.9,-61.2499957217371
478,"APD 20",1.7,22.849998403946
478,"APD 50",10.5,-13.1499990814832
478,"APD 90",37.8,-61.1999957252296
