"Sweep (n)","APD","APD value (ms)","APD value (mV)"
96,"APD 20",1.2,57.0770276429585
96,"APD 50",52,8.47473163473751
96,"APD 90",79.2,-56.170655552387
97,"APD 20",2.2,54.4372570761425
97,"APD 50",52.6,6.7321778848509
97,"APD 90",78.6,-56.329346962184
98,"APD 20",1.8,55.1971447884398
98,"APD 50",52.2,7.39440934496543
98,"APD 90",79,-56.4178479407247
99,"APD 20",1.6,55.7434094490873
99,"APD 50",52.4,7.41577165013041
99,"APD 90",79.4,-56.6070569293288
100,"APD 20",2.6,53.5552990486167
100,"APD 50",53.2,6.32019057095477
100,"APD 90",78.8,-56.4453137616511
