"Sweep (n)","APD","APD value (ms)","APD value (mV)"
575,"APD 20",2.6,-8.54999940278943
575,"APD 50",8.1,-33.3999976670371
575,"APD 90",30.3,-66.7999953340741
576,"APD 20",2.5,-8.39999941326681
576,"APD 50",8,-33.299997674022
576,"APD 90",30.6,-66.6999953410591
577,"APD 20",2.5,-8.39999941326681
577,"APD 50",8.2,-33.299997674022
577,"APD 90",30.7,-66.599995348044
578,"APD 20",2.4,-8.19999942723664
578,"APD 50",8,-33.3499976705295
578,"APD 90",30.7,-66.599995348044
579,"APD 20",2.5,-8.34999941675927
579,"APD 50",8.1,-33.3999976670371
579,"APD 90",30.7,-66.6999953410591
580,"APD 20",2.5,-8.19999942723664
580,"APD 50",8,-33.1499976844994
580,"APD 90",30.5,-66.6999953410591
581,"APD 20",2.5,-8.59999939929697
581,"APD 50",8,-33.6499976495748
581,"APD 90",30.4,-66.7499953375666
582,"APD 20",2.5,-8.19999942723664
582,"APD 50",8.2,-33.4499976635446
582,"APD 90",30.5,-66.7999953340741
583,"APD 20",2.5,-8.09999943422156
583,"APD 50",8,-33.1999976810069
583,"APD 90",30.4,-66.7499953375666
584,"APD 20",2.5,-8.59999939929697
584,"APD 50",8.1,-33.6499976495748
584,"APD 90",30.3,-66.7999953340741
