"Sweep (n)","APD","APD value (ms)","APD value (mV)"
36,"APD 20",1.7,37.0999974085951
36,"APD 50",12.8,-4.29999969964848
36,"APD 90",41.4,-59.9499958125411
37,"APD 20",1.7,36.8999974225649
37,"APD 50",12.8,-4.44999968917111
37,"APD 90",41.3,-59.9499958125411
38,"APD 20",1.6,37.2499973981177
38,"APD 50",12.6,-4.44999968917111
38,"APD 90",41.3,-60.0499958055562
39,"APD 20",1.6,37.6999973666855
39,"APD 50",12.7,-4.29999969964848
39,"APD 90",40.4,-60.0499958055562
40,"APD 20",1.6,37.1499974051026
40,"APD 50",12.6,-4.49999968567865
40,"APD 90",40.6,-59.9999958090486
