"Sweep (n)","APD","APD value (ms)","APD value (mV)"
62,"APD 20",1.2,27.9499980477151
62,"APD 50",7.4,-9.19999935738745
62,"APD 90",26.1,-59.3499958544506
63,"APD 20",1.1,28.0499980407302
63,"APD 50",7.5,-9.54999933294024
63,"APD 90",26.1,-59.4499958474657
64,"APD 20",1.1,27.9499980477151
64,"APD 50",7.3,-9.29999935040254
64,"APD 90",25.7,-59.4999958439732
65,"APD 20",1.1,29.1999979604037
65,"APD 50",7.4,-9.4999993364327
65,"APD 90",25.6,-59.3999958509581
66,"APD 20",1.2,28.1499980337453
66,"APD 50",7.6,-9.29999935040254
66,"APD 90",25.9,-59.1499958684204
