"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18711037",-71.7559949879015,79.2799944623562,151.035989450258,239.399983278101,-96.19999328051,0.115494107593804,1.29972222222222,0.0888606085355189,0.480000000000001,1.7,19.28
"18711041",-73.9149948370971,53.4499962665608,127.364991103658,330.199976935803,-28.2999980232684,0.202703943940144,1.705,0.118887943659908,1.02,5.44,25.56
"18711045",-69.3959951527456,58.4899959145209,127.885991067267,357.606225021494,-32.7999977089467,0.271057599454844,2.1985,0.123292062522103,1.38,9.56,31.98
"18711049",-69.7129951306034,59.5299958418777,129.242990972481,345.399975874091,-50.5999964656312,0.202703943940143,1.67211111111111,0.121226360253923,0.639999999999999,3.54,26.2
"18711053",-74.0679948264102,61.759995686114,135.827990512524,323.599977396803,-66.5999953480444,0.157920514464997,1.4455,0.109249750581112,0.52,3.72,21.42
"18711057",-73.5989948591695,54.2399962113799,127.838991070549,352.199975399117,-25.0833315812829,0.271057599454843,1.96683333333333,0.137814218856797,1.32,7.22,29.66
"18711070",-72.2899949506021,55.8099961017167,128.099991052319,344.09997596489,-34.7999975692483,0.205060966544098,1.5945,0.128605184411476,0.82,4.9,24.46
"18712048",-72.620994927482,50.1899964942692,122.810991421751,312.999978137207,-23.9166649961069,0.160277537068952,1.45322222222222,0.11029114103682,1.2,5.74,21.54
"18712052",-76.0609946872008,53.3499962735457,129.410990960746,339.299976300171,-28.1999980302529,0.174419672692682,1.53655555555556,0.113513417762249,1.12,6.28,22.48
"18712056",-74.0229948295534,57.8299959606214,131.852990790175,374.099973869419,-27.8937480516445,0.289913780286486,2.04416666666667,0.141824923091636,3.1,11.86,30.68
"18712060",-70.3569950856206,57.6699959717972,128.026991057418,332.499976775149,-22.8999984004535,0.320555074137902,2.93144444444444,0.109350554040144,3.02,14.86,44.92
"18712065",-75.1229947527193,62.309995647697,137.432990400416,349.799975566755,-37.0999974085952,0.320555074137901,2.65966666666667,0.120524529692155,1.38,12.96,35.1
"18712069",-72.6239949272724,53.4999962630683,126.123991190341,294.999979394489,-30.0999978975395,0.0824957911384303,1.11905555555556,0.0737191203143397,0.92,3.88,16.64
"18713032",-80.3229943895035,56.0399960856514,136.362990475155,347.399975734393,-46.7999967310584,0.299341870702305,2.27483333333333,0.13158848444676,0.899999999999999,9.48,34.7
"18713037",-75.5989947194711,57.6999959697017,133.298990689173,345.19997588806,-35.599997513369,0.289913780286484,2.10538888888889,0.137700821836998,1.02,6.86,30.38
"18713043",-74.1079948236162,49.319996555038,123.427991378654,291.199979659914,-21.0999985261819,0.490260701622674,3.04044444444444,0.161246393604885,2.64,11.84,48.84
"18716028",-82.964994204962,68.5999952083456,151.564989413308,319.899977655245,-76.5999946495532,0.45254833995939,2.90488888888889,0.155788519722862,0.499999999999998,7.16,42.56
"18716032",-83.0719941974881,56.4099960598072,139.481990257295,387.199972954395,-53.8333295731183,0.131993265821489,1.13911111111111,0.11587391654247,0.6,2.92,17.18
"18716036",-83.1399941927384,62.8199956120739,145.959989804812,366.999974365349,-43.8999969336207,0.308769961118127,2.36205555555556,0.13072087165431,1.2,9.68,36.06
"18716040",-81.3709943163016,54.0499962246513,135.420990540953,377.499973631931,-26.4999981489966,0.553900311929461,2.52694444444444,0.219197661091135,2,11.12,37.66
"18716045",-84.3439941086399,49.4399965466561,133.783990655296,388.599972856601,-21.7499984807802,0.351196367989318,2.23738888888889,0.156967065374016,1.8,8.86,32.14
"18716050",-82.9399942067082,60.439995778315,143.379989985023,396.599972297806,-38.4999973108063,0.21448905695992,2.42238888888889,0.0885444355956827,1.3,11.14,38.3
"18716054",-78.1439945417049,70.339995086808,148.483989628513,305.299978675039,-49.79999652151,1.0983725334431,4.03622222222222,0.272128855392499,1.1,13.94,67.16
