"Sweep (n)","APA (mV)"
435,121.57749150791
436,121.447491516991
437,121.499991513323
438,121.542491510355
439,121.612491505465
440,121.514991512276
441,121.412491519435
442,121.582491507561
443,121.484991514371
444,121.627491504418
