"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
85,20,365.999974435204
86,20.1,361.4999747495
87,20,400.499972025408
88,20,364.999974505054
89,19.9,401.499971955545
90,20.1,396.999972269852
91,19.9,361.999974714588
92,20.1,403.499971815832
93,20.1,397.499972234927
94,20.1,375.499973771611
