"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
434,8.7,-58.9999958788979
435,8.6,-58.9999958788969
436,8.6,-57.4999959836708
437,8.7,-57.4999959836718
438,8.7,-58.999995878898
